,Review,label,label_p,cleaned
13087,I can't download The New update,5,4,I can t download The New update 
12018,THIS SUCKS IT GAVE MME BACK ONLY MY ARMOR FOR MY ACC AND NOT MY OLD GUNS!!! AND IT TAKES OFF AREA DAMAGE TO MOVE FAST ON MULTITASKERS NOO!,3,3,THIS SUCKS IT GAVE MME BACK ONLY MY ARMOR FOR MY ACC AND NOT MY OLD GUNS AND IT TAKES OFF AREA DAMAGE TO MOVE FAST ON MULTITASKERS NOO 
39960,No this is patrick,0,0,No this is patrick 
13790,"I hate this game because it always lag and the enemies can kill me when I was at enemies back,is that a bug?",2,2,I hate this game because it always lag and the enemy can kill me when I wa at enemy back is that a bug 
17933,"Its an amazing game, to be fair. They did a great job. I stopped playing it because this game is built for stupid pay to wins! I spent three years getting to where I am only to be knocked around be noobs who buy the one shot weapons. Its unbalanced, so I don't play it anymore.",2,2,Its an amazing game to be fair They did a great job I stopped playing it because this game is built for stupid pay to win I spent three year getting to where I am only to be knocked around be noobs who buy the one shot weapon Its unbalanced so I don t play it anymore 
39940,Jerry867,0,0,Jerry867 
32560,"I really like this game. i got it way back when it came out. but i need help. i made like 20 purchases for gems and i didn't get any and i cant restore purchases help. i should have like 6,000 gems and coins but i only have 20 plz help",3,3,I really like this game i got it way back when it came out but i need help i made like 20 purchase for gem and i didn t get any and i cant restore purchase help i should have like 6 000 gem and coin but i only have 20 plz help 
5469,"I updated the game and now it wont let me play at all saying ""update to newest version"" i clicked on it, I go to the app store but no update BECAUSE I HAVE THE CURRENT VERSION SO WHY CANT I PLAY?! I spent way too much money on here and im read to file a suit against this app.",5,4,I updated the game and now it wont let me play at all saying update to newest version i clicked on it I go to the app store but no update BECAUSE I HAVE THE CURRENT VERSION SO WHY CANT I PLAY I spent way too much money on here and im read to file a suit against this app 
16831,Im stuck at the title screen and can't do anything,1,1,Im stuck at the title screen and can t do anything 
38752,No one let me win so I just got to win some you got my friends so I got it so shot,0,0,No one let me win so I just got to win some you got my friend so I got it so shot 
19120,I love it all but when i play a map it lags,5,4,I love it all but when i play a map it lag 
20278,It won't let me down load it and I have no apps .All I want is this let me down load but I do like the game.,5,4,It won t let me down load it and I have no apps All I want is this let me down load but I do like the game 
6615,Pay to win bs stop it get some help,2,2,Pay to win b stop it get some help 
19515,It is awesome but I think there should be more characterization.,2,2,It is awesome but I think there should be more characterization 
49081,It breaks every time i log in,1,1,It break every time i log in 
11821,The game shuts down sometimes if I have other apps open.,1,1,The game shuts down sometimes if I have other apps open 
7697,No ads ok its so annoying,2,2,No ad ok it so annoying 
9490,The game is a home of pay to win and i wish the game go back when it was in 2013,2,2,The game is a home of pay to win and i wish the game go back when it wa in 2013 
42110,I want the prototipe be -90%,2,2,I want the prototipe be 90 
52486,Why cant you play with people who has ios when your on andriod its stupid.,5,4,Why cant you play with people who ha io when your on andriod it stupid 
32215,The,0,0,The 
18203,It is a alaround great game but wish theyd put more campaign. In,2,2,It is a alaround great game but wish theyd put more campaign In 
43197,Yeah I used to love this game. I wish it was still the same as 2013 when the big buddy was in store. When their wasn't all of these OP guns. Its too much. But otherwise I like it.,2,2,Yeah I used to love this game I wish it wa still the same a 2013 when the big buddy wa in store When their wasn t all of these OP gun Its too much But otherwise I like it 
52996,"So.I get to level 31 and get 300 coins so it says'cheating detected ""boi,how can u do that without seeing,and also when it gets to 78%now it stops loading",5,4,So I get to level 31 and get 300 coin so it say cheating detected boi how can u do that without seeing and also when it get to 78 now it stop loading 
6911,When I accidentally deleted the game it didn't save my leprechaun,3,3,When I accidentally deleted the game it didn t save my leprechaun 
29941,The armory is overpriced if it wasnt so overpriced i would give a 5 star rating,2,2,The armory is overpriced if it wasnt so overpriced i would give a 5 star rating 
13844,"Best game and one thing ,it's so hard   To  get coin",2,2,Best game and one thing it s so hard To get coin 
15662,I cant update it why the hell i cant update my you tube chanlles a going to be ruwen,5,4,I cant update it why the hell i cant update my you tube chanlles a going to be ruwen 
28127,I love it but please fix the loading in downloading it's so long plzzzz,5,4,I love it but please fix the loading in downloading it s so long plzzzz 
28308,This game is the.best game posably ever made.first I thought is was horrible but I was wrong but the thing I hate is that in or when you sometimes want to play a game a add apears becore the before the game starts butt I still love it,0,0,This game is the best game posably ever made first I thought is wa horrible but I wa wrong but the thing I hate is that in or when you sometimes want to play a game a add apears becore the before the game start butt I still love it 
8906,The game is alrightttttt.....but when I try to get it to remember me it doesnt,5,4,The game is alrightttttt but when I try to get it to remember me it doesnt 
55622,"Cool game cause is has cute pets,Cool guns,we can make our skin and many places!",2,2,Cool game cause is ha cute pet Cool gun we can make our skin and many place 
22907,Needs new cool stuff,2,2,Needs new cool stuff 
3021,I hate it,0,0,I hate it 
6785,Stupid I can't even chat cuz the keyboard won't pop up and ppl hack it a lot and u can't even win one match everything is to expensive way to much lag and everything else about this game is stupid even the sale when u buy something with real money u don't get anything this game is a waste  of time,2,2,Stupid I can t even chat cuz the keyboard won t pop up and ppl hack it a lot and u can t even win one match everything is to expensive way to much lag and everything else about this game is stupid even the sale when u buy something with real money u don t get anything this game is a waste of time 
58134,I think you should let us trade weapons  with our friends and gems coins and a new zombies game like cod,2,2,I think you should let u trade weapon with our friend and gem coin and a new zombie game like cod 
14747,The other hand ✋ the same thing,0,0,The other hand the same thing 
31717,Ok your games good but why... why add 1 shot weapons it's stupid that makes it hard for some people to enjoy it I would love it if you removed all the guns that kill in one shot completely I have no sympothy for over powered weapons especially ones with one shot kills then it gives no one else a chance and it's not fear for the other team to try hard and lose against a team that's not trying cause their weapons are one shot and it's annoying to be trying so hard but not even being able to fight back cause someone keeps using one shot kills I get it if it's weak armor against strong weapon but one shot kills me in one shot no matter what armor I got once one shot is removed I will rate 5 stars thank you,2,2,Ok your game good but why why add 1 shot weapon it s stupid that make it hard for some people to enjoy it I would love it if you removed all the gun that kill in one shot completely I have no sympothy for over powered weapon especially one with one shot kill then it give no one else a chance and it s not fear for the other team to try hard and lose against a team that s not trying cause their weapon are one shot and it s annoying to be trying so hard but not even being able to fight back cause someone keep using one shot kill I get it if it s weak armor against strong weapon but one shot kill me in one shot no matter what armor I got once one shot is removed I will rate 5 star thank you 
43086,"This is a great game with so many weapons and it is so fun! The first thing is when I first got the game on my phone and went to the loading screen the first time it work amazing! When I got it on my tablet and went to the loading screen it would always get stuck on 16, 21, or 44! The other thing is I want the old music back! Other than that it is a great game!",1,1,This is a great game with so many weapon and it is so fun The first thing is when I first got the game on my phone and went to the loading screen the first time it work amazing When I got it on my tablet and went to the loading screen it would always get stuck on 16 21 or 44 The other thing is I want the old music back Other than that it is a great game 
14522,Total pay to win,2,2,Total pay to win 
60668,Pls Help Me! ALL my progress was deleted. I try to sign into my google play games but it doesn't give me anything,3,3,Pls Help Me ALL my progress wa deleted I try to sign into my google play game but it doesn t give me anything 
38352,More coins for each battle,2,2,More coin for each battle 
39762,This game is sooooo unbalanced,2,2,This game is sooooo unbalanced 
55416,I liked it when this update didn`t happen,5,4,I liked it when this update didn t happen 
48218,I love this game,0,0,I love this game 
32173,All of the prizes are shit You get killed easily And they won't give you any good prizes that you won cause they had an event where you had to download a game on your phone and do certain things in it to win free gems as prizes and they never gave me my 198 gems.  I did what the requirements were and still have not received them And if you want to know what my username is 丹れ口れㄚ爪口∪Ｓ_ム丹爪モ尺 YT,2,2,All of the prize are shit You get killed easily And they won t give you any good prize that you won cause they had an event where you had to download a game on your phone and do certain thing in it to win free gem a prize and they never gave me my 198 gem I did what the requirement were and still have not received them And if you want to know what my username is 丹れ口れㄚ爪口 Ｓ_ム丹爪モ尺 YT 
34412,Can you create another story lvl hurry up because i need it,2,2,Can you create another story lvl hurry up because i need it 
55483,This update is stupid. Pls fix it,0,0,This update is stupid Pls fix it 
36563,It wont instal  😡😡😡😡😡😡😡😡😡😡,5,4,It wont instal 
7942,"This is an excellent Multiplayer shooting game, but why doesn't it show in Plays Store that it cannot be updated when inside the game it says that it must be updated. So if thats bug could you fix it or if its just my phone could you tell me how to fix it.😉",5,4,This is an excellent Multiplayer shooting game but why doesn t it show in Plays Store that it can not be updated when inside the game it say that it must be updated So if thats bug could you fix it or if it just my phone could you tell me how to fix it 
49343,I would rate it 5 stars but the lucky chest is so rigged,2,2,I would rate it 5 star but the lucky chest is so rigged 
59193,Its way to big :/,0,0,Its way to big 
57908,"I don't like it at all. I think it is a ripoff and it doesn't load properly, it takes 10 years to install. Im sorry it is bad. I actually deleted it becaise it sucks. It's so fake and a waste of time. :(",5,4,I don t like it at all I think it is a ripoff and it doesn t load properly it take 10 year to install Im sorry it is bad I actually deleted it becaise it suck It s so fake and a waste of time 
49428,I THINK THERE SHOULD BE A CANDY LAND,2,2,I THINK THERE SHOULD BE A CANDY LAND 
44120,If you Update Your Pixel Gun 3D Its Very Laggy But When You Dont Update Pixel Gun 3D Its Not Laggy At All So You Can Play The Christmas Update Instead Of the New One,5,4,If you Update Your Pixel Gun 3D Its Very Laggy But When You Dont Update Pixel Gun 3D Its Not Laggy At All So You Can Play The Christmas Update Instead Of the New One 
38467,I will raise my star if u guys fix my problem. So last year I made an account. I worked really hard to get the highest rank in game. And now It wont work my account wont show up not even the items. It took me 3 months of gameplay just to get good stuff. So pls fix.,3,3,I will raise my star if u guy fix my problem So last year I made an account I worked really hard to get the highest rank in game And now It wont work my account wont show up not even the item It took me 3 month of gameplay just to get good stuff So pls fix 
60501,Yes it it is good but once i deleted it the game wouldnt let me dowloand it again,5,4,Yes it it is good but once i deleted it the game wouldnt let me dowloand it again 
11907,It's great and entertaining but I only have 1 complaint: I'd rather not get 1 gem after working hard to get 5 or 50 keys.,2,2,It s great and entertaining but I only have 1 complaint I d rather not get 1 gem after working hard to get 5 or 50 key 
22237,It's a good game but Parker challenge sucks you should make Park Court challenge easier,2,2,It s a good game but Parker challenge suck you should make Park Court challenge easier 
12272,You can make your own skin,2,2,You can make your own skin 
56804,It needs cloud save,2,2,It need cloud save 
7872,The upgrade are to  Expensive  It's relly fun it's my favourite game but steel the update are to expensive that is the only reason i gave this a ok,2,2,The upgrade are to Expensive It s relly fun it s my favourite game but steel the update are to expensive that is the only reason i gave this a ok 
12709,I loved this game wen only it didnt gave ads for a time as you downloaded it now am not allowed to play this please let no ads com and defet ads sooo that this app is a hit and happily there will be no ads and then I will be allowed,2,2,I loved this game wen only it didnt gave ad for a time a you downloaded it now am not allowed to play this please let no ad com and defet ad sooo that this app is a hit and happily there will be no ad and then I will be allowed 
37299,Best game so cute fps game but when u enter in the warfield it is not cute...,2,2,Best game so cute fps game but when u enter in the warfield it is not cute 
11414,"I love the game, it's great but there something wrong but Idk.",2,2,I love the game it s great but there something wrong but Idk 
31471,You guys need a solution with all the hacker in the game!!!,2,2,You guy need a solution with all the hacker in the game 
33517,Add some more minigames like disaster survival and  wildlife survival to make this game better and add some new multiplayer modes like 2v2 and cops vs prisoners.You should let us make our own minigames.,2,2,Add some more minigames like disaster survival and wildlife survival to make this game better and add some new multiplayer mode like 2v2 and cop v prisoner You should let u make our own minigames 
54008,My combat yo-yo won't do any damage when I updated it into 13.5.1 It's getting really annoying when I get no kills with it because it used to be my strongest weapon now it can be classified as trash. Please fix,2,2,My combat yo yo won t do any damage when I updated it into 13 5 1 It s getting really annoying when I get no kill with it because it used to be my strongest weapon now it can be classified a trash Please fix 
8735,This is so good but u need to make the gun cheaper pls!,2,2,This is so good but u need to make the gun cheaper pls 
34999,Muito bommmmm. 😭 😪,0,0,Muito bommmmm 
47737,You Are just COPY THE OLD GUN AND JUST CHANGED THE COLOR and made tham expensive,2,2,You Are just COPY THE OLD GUN AND JUST CHANGED THE COLOR and made tham expensive 
55359,Thank you awsome game plaese more maps and guns keep up the work,2,2,Thank you awsome game plaese more map and gun keep up the work 
8160,Some controls aren't responding,5,4,Some control aren t responding 
52266,Don't. Make the gun alot.of money,2,2,Don t Make the gun alot of money 
4187,Its the old Minecraft battle Royale,0,0,Its the old Minecraft battle Royale 
24880,H The controls are a bit off for me,5,4,H The control are a bit off for me 
16740,I think this is op but plz plz plz can u make it easier to get stuff like power claw we need more rewards less time to wait for the exoskeleton and we should be able to type which music We want like mans not 🔥,2,2,I think this is op but plz plz plz can u make it easier to get stuff like power claw we need more reward le time to wait for the exoskeleton and we should be able to type which music We want like man not 
45553,Doesn't even work maybe now it will work,5,4,Doesn t even work maybe now it will work 
32028,Odio la actualisaci i hate the actulization sucks regular👿,3,3,Odio la actualisaci i hate the actulization suck regular 
24108,Is raining laser from another sky🎵......,2,2,Is raining laser from another sky 
23409,Absolutely amazing the way to make this even better would be to add an alone mode as well as campaign to practise for matches such as a training mode,2,2,Absolutely amazing the way to make this even better would be to add an alone mode a well a campaign to practise for match such a a training mode 
49149,I love this game . It is like call of duty and just Minecraft combined . It happens when I play some matches then it lags and turns into an black screen kicks me out . I log in and I lose 45 trophies . Can you fix this please . If you do I will put five stars . 😀,3,3,I love this game It is like call of duty and just Minecraft combined It happens when I play some match then it lag and turn into an black screen kick me out I log in and I lose 45 trophy Can you fix this please If you do I will put five star 
266,The size is way too big but good game play,0,0,The size is way too big but good game play 
50641,"Im a great fan of this game. If your looking for a shooter, this is a good choice. Only complaint is too many things are costing gems, and gems take a lot of time to get, which seems like there trying to get us to buy gems, so please make more things cost coins. But other than thay, this is an amazing game",2,2,Im a great fan of this game If your looking for a shooter this is a good choice Only complaint is too many thing are costing gem and gem take a lot of time to get which seems like there trying to get u to buy gem so please make more thing cost coin But other than thay this is an amazing game 
58039,Doesnt let me download anymore i enjoyed it but not anymore kept making me lag out of the game.,5,4,Doesnt let me download anymore i enjoyed it but not anymore kept making me lag out of the game 
11514,I bought coins and gems and used it for armor and weapons and when I updated the game it put me back to level one and I  was level 8 so I sent an email they didn't respond or given me back my money so I don't suggest downloading the game because your progress can't get saved and you get ripped off.,3,3,I bought coin and gem and used it for armor and weapon and when I updated the game it put me back to level one and I wa level 8 so I sent an email they didn t respond or given me back my money so I don t suggest downloading the game because your progress can t get saved and you get ripped off 
4445,tickets are gone thank you :),3,3,ticket are gone thank you 
60475,New update design is bad. You nerfed so many weapons and it's so trash now.,2,2,New update design is bad You nerfed so many weapon and it s so trash now 
1757,NECESITO AYUDA VOLVI A INSTALAR EL JUEGO  Y C ME RESTABLECIERON MIS ARMAS MI NVL PERO MIS COPAS NO AYUDA,0,0,NECESITO AYUDA VOLVI A INSTALAR EL JUEGO Y C ME RESTABLECIERON MIS ARMAS MI NVL PERO MIS COPAS NO AYUDA 
60643,Working cheat,2,2,Working cheat 
47689,Suggestions for next update: Add private servers back,2,2,Suggestions for next update Add private server back 
4843,Amazing but in the limited offer you gave me 10 coins when it takes ages to get keys,2,2,Amazing but in the limited offer you gave me 10 coin when it take age to get key 
20112,E bom,0,0,E bom 
45625,Parese black ops😁,0,0,Parese black ops 
5177,Good but U can add that u can sell guns if u dont need it or buy 1 gem with 2 coins and buy 1 gem for 2 Coins?,2,2,Good but U can add that u can sell gun if u dont need it or buy 1 gem with 2 coin and buy 1 gem for 2 Coins 
12511,It was a good game but you Should be able to play more than zombies offline,2,2,It wa a good game but you Should be able to play more than zombie offline 
29089,Mt bom,0,0,Mt bom 
58065,Really fun but I would prefer PS4 controls and I think it would also be cool on PS4 so maybe you should try to make a free consle port I think a lot of people would like that! :),2,2,Really fun but I would prefer PS4 control and I think it would also be cool on PS4 so maybe you should try to make a free consle port I think a lot of people would like that 
21560,This game is amazing but level advancement is not balanced and new super power weapons come and they cost to much please reduce the cost of weapons and make it balanced please also don't give us higher players match just because we have more trophies,2,2,This game is amazing but level advancement is not balanced and new super power weapon come and they cost to much please reduce the cost of weapon and make it balanced please also don t give u higher player match just because we have more trophy 
1413,Shoots are so horabal and when I move and a bullet goes at me and I move out the way it  will hit me anyways and my experience is like 😦😠,2,2,Shoots are so horabal and when I move and a bullet go at me and I move out the way it will hit me anyways and my experience is like 
18925,I love you guys game but on Christmas you guy should make stuff free on Christmas,2,2,I love you guy game but on Christmas you guy should make stuff free on Christmas 
44879,Great game but I was in the top fifty players and I lost my progress make it where u can recover.,3,3,Great game but I wa in the top fifty player and I lost my progress make it where u can recover 
10812,Having to pay a ton of money for gems,2,2,Having to pay a ton of money for gem 
35927,Need to put people in the same leave together,2,2,Need to put people in the same leave together 
21241,C EST UN TRÈS BON JEU,0,0,C EST UN TRÈS BON JEU 
41792,I want to back  I want to back time  This game is past is god game but now is travel game I want to back  Please.,2,2,I want to back I want to back time This game is past is god game but now is travel game I want to back Please 
19534,Takes to much space on your device and jjst a bad game after all.,0,0,Takes to much space on your device and jjst a bad game after all 
30564,Chaves,0,0,Chaves 
57817,The update made chapion solar cannon weak even though it is a mythical. And all of the new weapons cost tons of gems makes it harder for people to get.At least make the chapion solar cannon better again,2,2,The update made chapion solar cannon weak even though it is a mythical And all of the new weapon cost ton of gem make it harder for people to get At least make the chapion solar cannon better again 
527,"Can't play it anymore i updated it yesterday and now it say update your game for new stuff and other things but i got the last update and i just cant play a match, i cant go in my friends list, cant go to my clan, fix this please i don't wanna lose my account again.",5,4,Can t play it anymore i updated it yesterday and now it say update your game for new stuff and other thing but i got the last update and i just cant play a match i cant go in my friend list cant go to my clan fix this please i don t wan na lose my account again 
54865,"Stop subtracting trophies from what I already have,so what if I loss ATLEAST I TRIED and stop making one shot gun types. I hate this game",3,3,Stop subtracting trophy from what I already have so what if I loss ATLEAST I TRIED and stop making one shot gun type I hate this game 
6963,This game is mad. Every time I tried to go in a match it wants me to.update it but my phone won't let me update it. IT IS SO ANNOYING!!!!!!!!!!,5,4,This game is mad Every time I tried to go in a match it want me to update it but my phone won t let me update it IT IS SO ANNOYING 
24665,You guys should make it easier to get coins,2,2,You guy should make it easier to get coin 
50195,Trop fort,0,0,Trop fort 
